pattern,mu,min_fraction,max_fraction
mEmC_4,0.09502,0.0,0.9144365270573457
mEmC_4,0.114024,0.0,0.8990513361228569
mEmC_4,0.133028,0.0,0.8841752838662736
mEmC_4,0.152032,0.0,0.8697835084429506
mEmC_4,0.171036,0.0,0.8558527407935093
mEmC_4,0.19004,0.0,0.8423611791013524
mEmC_4,0.209044,0.0,0.8292883749403094
mEmC_4,0.228048,0.0,0.8166151298614787
mEmC_4,0.247052,0.0,0.8043234013197839
mEmC_4,0.266056,0.0,0.7923962169702563
mEmC_4,0.28506,0.0,0.780817596478462
mEmC_4,0.304064,0.0,0.7695724800871598
mEmC_4,0.323068,0.0,0.7586466632679657
mEmC_4,0.342072,0.0,0.7460036379688277
mEmC_4,0.361076,0.0,0.729926458697759
mEmC_4,0.38008,0.0,0.7136117205441581
mEmC_4,0.399084,0.0,0.697054119005224
mEmC_4,0.418088,0.0,0.6802481904705318
mEmC_4,0.437092,0.0,0.6631883062058235
mEmC_4,0.456096,0.0,0.6458686660704912
mEmC_4,0.4751,0.0,0.6282832919408148
mEmC_4,0.494104,0.0,0.6104260208314691
mEmC_4,0.513108,0.0,0.5922904976934922
mEmC_4,0.532112,0.0,0.5738701678742271
mEmC_4,0.551116,0.0,0.5551582692186032
mEmC_4,0.57012,0.0,0.5361478237919242
mEmC_4,0.589124,0.0,0.5168316292047014
mEmC_4,0.608128,0.0,0.4972022495137366
mEmC_4,0.627132,0.0,0.47725200567838044
mEmC_4,0.646136,0.0,0.456972965544182
mEmC_4,0.66514,0.0,0.4363569333275733
mEmC_4,0.684144,0.0,0.41539543857172423
mEmC_4,0.703148,0.0,0.3940797245426839
mEmC_4,0.722152,0.0,0.3724007360318836
mEmC_4,0.741156,0.0,0.3503491065299913
mEmC_4,0.76016,0.0,0.3279151447341989
mEmC_4,0.779164,0.0,0.30508882034571516
mEmC_4,0.798168,0.0,0.28185974911753364
mEmC_4,0.817172,0.0,0.25821717710256165
mEmC_4,0.836176,0.0,0.23414996405334998
mEmC_4,0.85518,0.0,0.207827075503201
mEmC_4,0.874184,0.0,0.1799650579351737
mEmC_4,0.893188,0.0,0.1525502543656777
mEmC_4,0.912192,0.0,0.1255719831444132
mEmC_4,0.931196,0.0,0.09901990012463435
mE_1,0.0,0.0,1.0
mE_1,0.007539714285714286,0.010175785918711724,1.0
mE_1,0.015079428571428572,0.02029531855209843,1.0
mE_1,0.02261914285714286,0.03035906307938674,1.0
mE_1,0.030158857142857144,0.040367479564918374,1.0
mE_1,0.03769857142857143,0.050321023028256584,1.0
mE_1,0.04523828571428572,0.06022014351314542,1.0
mE_1,0.052778,0.07006528615533691,1.0
mE_1,0.06031771428571429,0.07985689124931727,1.0
mE_1,0.06785742857142857,0.0895953943139487,1.0
mE_1,0.07539714285714286,0.09928122615703405,1.0
mE_1,0.08293685714285715,0.10891481293885397,1.0
mE_1,0.09047657142857143,0.11849657623466037,1.0
mE_1,0.09801628571428572,0.1280269330961844,1.0
mE_1,0.105556,0.13750629611213572,1.0
mE_1,0.11309571428571429,0.14693507346775025,1.0
mE_1,0.12063542857142857,0.1563136690033795,1.0
mE_1,0.12817514285714285,0.1656424822721433,1.0
mE_1,0.13571485714285714,0.174921908596682,1.0
mE_1,0.14325457142857143,0.1841523391249854,1.0
mE_1,0.15079428571428571,0.19333416088536504,1.0
mE_1,0.158334,0.20246775684054508,1.0
mE_1,0.1658737142857143,0.21155350594090216,1.0
mE_1,0.17341342857142858,0.22059178317688266,1.0
mE_1,0.18095314285714287,0.22958295963059128,1.0
mE_1,0.18849285714285716,0.23852740252656912,1.0
mE_1,0.19603257142857144,0.24742547528182968,1.0
mE_1,0.2035722857142857,0.256277537554952,1.0
mE_1,0.211112,0.2650839452947594,1.0
mE_1,0.21865171428571428,0.27384505078783383,1.0
mE_1,0.22619142857142857,0.2825612027055745,1.0
mE_1,0.23373114285714286,0.29123274615044803,1.0
mE_1,0.24127085714285715,0.2998600227015291,1.0
mE_1,0.24881057142857144,0.30844337045935544,1.0
mE_1,0.2563502857142857,0.31698312409009477,1.0
mE_1,0.26389,0.3254796148690392,1.0
mE_1,0.2714297142857143,0.3339331707234491,1.0
