,M_ac_e,M_co2_e,M_etoh_e,M_fe2_e,M_fum_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_mal__45__L_e,M_nh4_e,M_o2_e,M_orot_e,M_pi_e,M_pro__45__L_e,M_pyr_e,M_so4_e,M_succ_e,objective,virtual_tag_R_constraint_reaction,M_cit_e
238,0.0,0.0,0.0,-9.498201955916064e-06,0.0,0.0,0.0,15.574378054230191,-2.1626503468563256,0.43855484889786117,5.224445430391669,-9.915286864249593,0.0,3.2142167773009156,-0.26019625861029216,0.0,0.0,-0.06983888218744387,0.0,0.27935888105635237,1.0,-8.43866220769256
239,0.0,0.0,0.0,-9.498201955916064e-06,0.0,0.0,1.561337792307439,14.013040261922749,-2.1626503468563256,0.43855484889786117,6.785783222699108,-9.915286864249593,0.0,3.2142167773009156,-0.26019625861029216,0.0,0.0,-0.06983888218744387,0.0,0.27935888105635237,1.0,-10.0
243,0.0,5.966085574241246,0.0,-9.498201955916062e-06,0.0,0.0,9.377421691626253,0.0,-7.897561930917283,0.20738085871756848,3.5712632435805816,-3.2556793194674634,0.0,0.0,-0.26019625861029105,0.0,2.751868796940328,-0.06983888218744522,0.0,0.2793588810563521,1.0,-10.0
247,0.0,8.717954371181575,0.0,-9.498201955916066e-06,0.0,0.0,12.129290488566582,0.0,-10.649430727857613,2.9592496556578984,0.8193944466402504,-6.007548116407792,0.0,0.0,-0.2601962586102901,0.0,0.0,-0.06983888218744125,0.0,0.279358881056352,1.0,-10.0
256,0.0,0.0,0.0,-9.498201955916064e-06,0.0,0.0,9.377421691626257,10.104998312263342,-2.1626503468563256,0.43855484889786117,2.8777412730396996,-9.915286864249593,0.0,3.2142167773009156,-0.26019625861029216,0.0,0.0,-0.06983888218744387,0.0,0.27935888105635237,1.0,-10.0
259,0.0,0.0,0.0,-9.498201955916044e-06,0.0,0.0,0.0,16.012932903128018,-1.2855406490605992,0.0,4.347335732595937,-9.476732015351713,-0.43855484889786117,3.2142167773009116,-0.26019625861028994,0.0,0.0,-0.0698388821874418,0.0,0.27935888105635276,1.0,-7.56155250989684
260,0.0,4.772288163637706,0.0,-9.49820195591605e-06,0.0,0.0,0.0,3.9351014870927705,-5.717347968427771,0.0,8.340588203065247,-3.048298460749891,0.0,0.0,-0.2601962586102934,0.0,0.0,-0.06983888218744451,0.0,0.27935888105635254,1.0,-8.340588203065236
261,0.0,0.8771096977957227,0.0,-9.49820195591604e-06,0.0,0.0,0.0,12.504494111945116,-2.6012051957541855,0.0,5.2244454303916585,-7.722512619760261,0.0,2.3371070795051856,-0.2601962586102901,0.0,0.0,-0.06983888218744508,0.0,0.27935888105635287,1.0,-7.561552509896842
286,0.0,0.0,0.0,-9.498201955916044e-06,0.0,0.0,0.0,16.012932903128018,-1.7240954979584604,0.0,3.4702260348002105,-9.476732015351713,0.0,3.2142167773009116,-0.26019625861028994,0.0,0.0,-0.0698388821874418,0.8771096977957223,0.27935888105635276,1.0,-7.56155250989684
288,0.0,0.0,0.0,-9.498201955916044e-06,0.0,0.0,2.4384474901031594,13.57448541302486,-1.2855406490605992,0.0,6.785783222699096,-9.476732015351713,-0.43855484889786117,3.2142167773009116,-0.26019625861028994,0.0,0.0,-0.0698388821874418,0.0,0.27935888105635276,1.0,-10.0
289,0.0,4.772288163637706,0.0,-9.49820195591605e-06,0.0,0.0,1.6594117969347641,2.2756896901580035,-5.717347968427771,0.0,10.000000000000014,-3.048298460749891,0.0,0.0,-0.2601962586102934,0.0,0.0,-0.06983888218744451,0.0,0.27935888105635254,1.0,-10.0
290,0.0,0.8771096977957227,0.0,-9.49820195591604e-06,0.0,0.0,2.438447490103158,10.066046621841958,-2.6012051957541855,0.0,7.6628929204948175,-7.722512619760261,0.0,2.3371070795051856,-0.2601962586102901,0.0,0.0,-0.06983888218744508,0.0,0.27935888105635287,1.0,-10.0
291,0.0,5.551323856806108,0.0,-9.498201955916062e-06,0.0,0.0,8.547898256755978,0.0,-7.275419354764576,0.0,4.608167537168428,-3.0482984607498933,0.0,0.0,-0.2601962586102937,0.0,2.3371070795051914,-0.0698388821874428,0.0,0.27935888105635365,1.0,-10.0
292,0.0,4.772288163637706,0.0,-9.49820195591605e-06,0.0,0.0,6.210791177250778,0.0,-5.717347968427771,0.0,7.724310309842007,-3.048298460749891,0.0,0.0,-0.2601962586102934,0.0,0.0,-0.06983888218744451,0.0,0.27935888105635254,1.0,-10.0
296,0.0,5.966085574241248,0.0,-9.498201955916067e-06,0.0,0.0,9.377421691626258,0.0,-7.690181072199716,0.0,3.3638823848630146,-3.048298460749896,0.0,0.0,-0.26019625861029355,0.0,2.7518687969403284,-0.06983888218744314,0.41476171743513535,0.27935888105635337,1.0,-10.0
298,0.0,5.5513238568061025,0.0,-9.498201955916054e-06,0.4147617174351378,0.0,9.377421691626244,0.0,-7.275419354764568,0.0,3.7786441022981485,-3.04829846074989,0.0,0.0,-0.26019625861029366,0.0,2.3371070795051887,-0.06983888218744311,0.0,0.2793588810563528,1.0,-10.0
301,0.0,4.772288163637709,0.0,-9.498201955916056e-06,1.9728331037719302,0.0,10.156457384794644,0.0,-5.717347968427777,0.0,3.7786441022981485,-3.0482984607498906,0.0,0.0,-0.26019625861029366,0.0,0.0,-0.06983888218744441,0.0,0.2793588810563533,1.0,-10.0
303,0.0,5.551323856806103,0.0,-9.498201955916059e-06,0.0,0.0,9.37742169162625,-0.41476171743513757,-7.275419354764572,0.0,4.193405819733288,-3.0482984607498915,0.0,0.0,-0.26019625861029244,0.0,2.3371070795051896,-0.06983888218744434,0.0,0.27935888105635437,1.0,-10.0
305,0.0,4.77228816363771,0.0,-9.498201955916062e-06,0.0,0.0,10.15645738479465,-1.972833103771931,-5.717347968427779,0.0,5.751477206070086,-3.0482984607498933,0.0,0.0,-0.26019625861029155,0.0,0.0,-0.069838882187443,0.0,0.2793588810563547,1.0,-10.0
308,0.0,5.551323856806108,0.0,-9.498201955916062e-06,0.0,0.0,8.962659974191114,0.0,-7.275419354764576,0.0,3.7786441022981507,-3.0482984607498933,0.0,0.0,-0.2601962586102937,0.0,2.3371070795051914,-0.0698388821874428,0.0,0.27935888105635365,1.0,-9.585238282564864
