,M_ca2_e,M_co2_e,M_fe2_e,M_fe3_e,M_for_e,M_gly_e,M_h2_e,M_h2o_e,M_h_e,M_ile__45__L_e,M_k_e,M_leu__45__L_e,M_lys__45__L_e,M_mal__45__L_e,M_mg2_e,M_n2_e,M_pi_e,M_pro__45__L_e,M_so4_e,M_val__45__L_e,objective,virtual_tag_R_constraint_reaction,M_cit_e
180,-0.0005670346204217535,25.56664079249374,309.1637993273179,-309.1637993273179,4.6424268894875835,0.0,-143.99433222339076,0.0,283.68575874213866,0.9179383320217075,-0.13382021623912752,0.0,0.0,0.1339476376098909,-0.0192791837261331,-2.505483685559477,-1.0719075426739209,0.0,-0.10076925966296477,0.0,0.6028903161968736,1.0,-10.0
184,-0.0005670346204218271,0.0,376.87800030675476,-376.87800030675476,30.978351550493155,0.0,-196.14889408118663,-5.625623727501259,380.1050574443889,0.0,-0.13382021623921522,0.0,0.0,1.318534168515819,-0.0192791837261356,-2.046514519548866,-1.0719075426740179,0.0,-0.10076925966297784,0.0,0.6028903161968823,1.0,-10.0
185,-0.0005670346204217824,0.0,459.3871483100715,-459.3871483100715,29.85322680499046,0.0,-243.59165418309553,0.0,459.2388312112049,0.0,-0.13382021623920468,0.0,0.0,0.19340942301543065,-0.01927918372613408,-2.6090768922988095,-1.0719075426738636,1.1251247455000475,-0.10076925966296989,0.0,0.602890316196896,1.0,-10.0
186,-0.0005670346204217858,0.0,618.7798205892677,-618.7798205892677,25.35272782298992,2.8128118637503152,-324.1318338818188,0.0,616.3812539994007,0.0,-0.13382021623920548,0.0,0.0,1.3185341685157121,-0.019279183726134196,-3.4529204514238416,-1.0719075426739726,0.0,-0.1007692596629705,0.0,0.6028903161968329,1.0,-10.0
187,-0.0005670346204217502,0.0,547.5439102520531,-547.5439102520531,30.209067681981182,0.0,-289.20999764426284,0.0,546.7145721273458,0.0,-0.13382021623919707,0.0,0.917938332021766,0.1339476376099339,-0.019279183726132985,-2.964452851570248,-1.0719075426738185,0.0,-0.10076925966296418,0.0,0.602890316196856,1.0,-10.0
188,-0.0005670346204218322,0.0,584.2614435330091,-584.2614435330091,24.70143768985401,1.8358766640437274,-305.7328876206994,0.0,582.5141670762799,0.0,-0.13382021623921644,0.0,0.0,1.9698243016536585,-0.01927918372613577,-2.964452851570617,-1.071907542673979,0.0,-0.10076925966297876,0.0,0.6028903161968105,1.0,-10.0
189,-0.0005670346204217916,0.0,437.39131040947103,-437.39131040947103,24.701437689852327,0.0,-229.5440060628637,0.0,437.47991061678556,0.0,-0.13382021623920687,0.0,0.0,0.1339476376099437,-0.019279183726134397,-2.0465145195486123,-1.0719075426739622,0.0,-0.10076925966297154,0.0,0.602890316196847,1.0,-8.1641233359564
190,-0.0005670346204218079,0.0,426.3760504252208,-426.3760504252208,28.37319101794053,0.0,-222.20049940669526,-3.67175332808738,428.30052729657905,0.0,-0.13382021623921064,0.0,0.0,1.9698243016535608,-0.019279183726134942,-2.0465145195488166,-1.071907542674014,0.0,-0.1007692596629744,0.0,0.6028903161969783,1.0,-10.0
191,-0.0005670346204217705,0.0,508.9905003071564,-508.9905003071564,30.209067681982237,0.0,-269.4743235058042,0.0,509.0791005144709,0.9179383320216807,-0.13382021623920184,0.0,0.0,0.13394763760993866,-0.019279183726133672,-2.505483685559501,-1.071907542673904,0.0,-0.10076925966296776,0.0,0.6028903161968217,1.0,-10.0
192,-0.0005670346204218376,0.0,480.2284325705296,-480.2284325705296,27.638840352324493,0.0,-253.1656191402466,0.0,479.9498574450354,0.0,-0.13382021623921772,0.0,0.0,1.2354736360362124,-0.01927918372613596,-2.413689852357607,-1.0719075426740765,0.7343506656174934,-0.10076925966297973,0.0,0.6028903161969059,1.0,-10.0
193,-0.0005670346204218076,0.0,536.528650267846,-536.528650267846,23.477519913823873,0.0,-279.7246348800662,0.0,536.0052915871461,0.0,-0.13382021623921062,0.0,0.0,3.1937420776828733,-0.019279183726134935,-2.046514519548745,-1.0719075426740081,0.0,-0.10076925966297437,0.0,0.6028903161968926,1.0,-10.0
296,-0.0005670346204218169,28.226187737126885,379.8229248911186,-379.8229248911186,0.0,1.854991892371978,-177.3850182669965,0.0,349.67708054981375,0.0,-0.13382021623911722,0.0,0.47890998568926474,0.36071419713726854,-0.019279183726135254,-3.452920451424159,-1.07190754267394,0.0,-0.10076925966297602,0.0,0.6028903161969854,1.0,-10.0
297,-0.0005670346204217836,26.470184456264743,364.97671533472976,-364.97671533472976,0.0,2.254083547112926,-169.36327600669136,-1.1174566332748812,337.22542092187285,0.0,-0.13382021623915075,0.0,0.0,1.3185341685157403,-0.01927918372613412,-3.1735562931051398,-1.0719075426739422,0.0,-0.10076925966297011,0.0,0.6028903161969332,1.0,-10.0
298,-0.000567034620421781,25.35272782298972,354.9196056352541,-354.9196056352541,0.0,1.9747193887942254,-165.59185986938783,0.0,328.0064036973535,0.0,-0.1338202162391427,0.0,0.0,0.48044169355959054,-0.019279183726134033,-3.033874213945779,-1.071907542673976,0.0,-0.10076925966296967,0.0,0.602890316196897,1.0,-9.16190752504384
299,-0.0005670346204217767,27.867005247857985,367.49099275959384,-367.49099275959384,0.0,1.9747193887941648,-171.24898407534067,0.0,338.06351339682493,0.41904623747795783,-0.13382021623912077,0.0,0.0,0.48044169355950245,-0.019279183726133887,-3.243397332684766,-1.0719075426739566,0.0,-0.10076925966296889,0.0,0.6028903161968419,1.0,-10.0
300,-0.0005670346204217942,26.693675782920135,363.7475130381343,-363.7475130381343,0.0,1.9747193887942107,-169.6705765808452,0.0,335.32574464531194,0.0,-0.13382021623908635,0.0,0.0,0.9832971785332957,-0.01927918372613448,-3.201492708937074,-1.0719075426739828,0.3352369899823744,-0.100769259662972,0.0,0.6028903161968784,1.0,-10.0
301,-0.000567034620421785,17.45385026781271,243.25620379062786,-243.25620379062786,13.524501282678061,0.0,-111.88414555530987,-5.625623727500892,229.02941066044897,0.0,-0.13382021623917661,0.0,0.0,1.3185341685157617,-0.01927918372613417,-2.0465145195487318,-1.0719075426739695,0.0,-0.10076925966293947,0.0,0.6028903161969643,1.0,-10.0
302,-0.0005670346204217773,21.954349249813177,289.761359937965,-289.761359937965,7.8988775551769805,0.0,-136.82441074722888,0.0,267.6586935892851,0.0,-0.13382021623918958,0.0,0.0,0.19340942301552366,-0.01927918372613391,-2.6090768922987575,-1.0719075426739073,1.125124745500078,-0.10076925966296901,0.0,0.6028903161969277,1.0,-10.0
303,-0.0005670346204217515,30.978351550489045,243.25620379061345,-243.25620379061345,0.0,0.0,-98.35964427262597,-5.625623727500594,215.5049093777581,0.0,-0.13382021623912202,0.0,0.0,1.318534168515656,-0.01927918372613303,-2.0465145195485945,-1.071907542673874,0.0,-0.10076925966290197,0.0,0.6028903161969238,1.0,-10.0
