,M_ac_e,M_co2_e,M_etoh_e,M_fe2_e,M_fum_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_nh4_e,M_o2_e,M_orot_e,M_pi_e,M_pro__45__L_e,M_pyr_e,M_so4_e,M_succ_e,objective,virtual_tag_R_constraint_reaction,M_mal__45__L_e
79,0.0,7.643309026540475,0.0,-6.832756916898564e-06,0.0,1.4717522117799402,0.0,10.092310508791435,-6.9539111660751285,0.0,-3.664618028818812,0.0,0.0,-0.18717835165246471,0.0,0.0,-0.05024025679275968,4.107747156282946,0.20096343873231035,1.0,-10.0
80,0.0,7.640294574959482,0.0,-6.8327569168985554e-06,0.0,1.470747394586277,0.010048171936613311,10.084271971242131,-6.951901531687797,0.0,-3.6636132116251483,0.0,0.0,-0.18717835165246757,0.0,0.0,-0.05024025679275859,4.1047327047019575,0.20096343873230868,1.0,-10.0
81,0.0,9.403772093518871,0.0,-6.832756916898556e-06,0.0,2.0585732341060714,0.0,11.852773575769831,-11.061658322358062,2.9341051116306693,-7.185544162775618,0.0,0.0,-0.18717835165246616,0.0,0.0,-0.05024025679275823,0.0,0.20096343873230843,1.0,-10.0
82,0.0,9.39946573411745,0.0,-6.832756916898546e-06,0.0,2.0571377809722695,0.010048171936613524,11.8434431304001,-11.056634236389737,2.931951931929964,-7.181955529941101,0.0,0.0,-0.18717835165246474,0.0,0.0,-0.05024025679275945,0.0,0.20096343873230724,1.0,-10.0
83,0.0,17.22805239120064,6.846245260471558,-6.832756916898546e-06,0.0,0.10250315968562318,0.0,5.984563352508472,-17.90790358282961,0.0,-2.2953689767244896,0.0,0.0,-0.18717835165246538,0.0,0.0,-0.05024025679275741,0.0,0.20096343873230632,1.0,-10.0
84,0.0,17.218004219264063,6.841221174503266,-6.832756916898562e-06,0.0,0.10250315968562347,0.010048171936614274,5.97953926654018,-17.897855410893037,0.0,-2.295368976724496,0.0,0.0,-0.18717835165246408,0.0,0.0,-0.050240256792757156,0.0,0.20096343873230618,1.0,-10.0
85,0.0,3.5355618702575238,0.0,-6.832756916898555e-06,6.846245260471566,0.10250315968562389,0.0,12.83080861298005,-4.2154130618864905,0.0,-2.295368976724494,0.0,0.0,-0.1871783516524657,0.0,0.0,-0.05024025679276114,0.0,0.2009634387323074,1.0,-10.0
86,0.0,3.5355618702575193,0.0,-6.8327569168985444e-06,6.841221174503251,0.10250315968562387,0.0100481719366133,12.820760441043419,-4.215413061886484,0.0,-2.2953689767244914,0.0,0.0,-0.18717835165246433,0.0,0.0,-0.050240256792760375,0.0,0.2009634387323098,1.0,-10.0
87,0.0,0.0,0.0,-6.83275691689855e-06,0.0,0.08205966149985208,0.0,19.820158360752,-0.700294689814737,0.0,-9.22338822993914,0.0,3.474231375700208,-0.18717835165246477,0.0,0.0,-0.0502402567927592,3.4129008811428934,0.20096343873230763,1.0,-10.0
88,0.0,0.0,0.0,-6.832756916898548e-06,0.0,0.08160292641182625,0.01004817193661233,19.808283248463265,-0.7007514249027652,0.0,-9.22019108432294,0.0,3.4728611704361216,-0.18717835165246363,0.0,0.0,-0.050240256792759515,3.4101604706147257,0.20096343873230757,1.0,-10.0
